id;word_info_id;contribution_date;validation_date;etat
1;68457;2022-03-03T07:38:25;2022-03-03T13:01:22;39274
2;23105;2022-03-03T12:30:58;2022-03-03T13:51:23;1680
3;56468;2022-03-02T18:14:37;2022-03-02T22:23:07;61719
4;16907;2022-03-02T20:50:43;2022-03-03T12:21:39;42097
5;71664;2022-03-03T08:10:47;2022-03-02T19:49:24;74507
6;93626;2022-03-02T21:54:58;2022-03-03T11:46:50;39099
7;2363;2022-03-03T10:27:54;2022-03-03T00:39:00;82524
8;31542;2022-03-02T15:51:40;2022-03-03T13:21:13;40545
9;87881;2022-03-03T06:02:02;2022-03-03T05:48:21;24074
10;97730;2022-03-03T01:08:10;2022-03-02T19:40:14;31501
